Concept,Notes
"Loss of E-cadherin expression in epithelial cells disrupts cell-cell adhesion and activates beta-catenin signaling, contributing to epithelial-mesenchymal transition.",↓ E-cadherin → ↓ cell-cell adhesion + ↑ β-catenin signaling → EMT → ↑ invasiveness
"Telomere shortening activates ATM kinase, which phosphorylates p53, leading to cell cycle arrest or apoptosis depending on the degree of damage.",telomere shortening → ATM activated → p53-P → cell cycle arrest or apoptosis; ∝ damage severity
"Overexpression of anti-apoptotic BCL-2 family proteins prevents cytochrome c release from mitochondria, allowing cells to evade intrinsic apoptosis.",↑ BCL-2 → blocks cytochrome c release from mito → intrinsic apoptosis evaded → ↑ cell survival
"Increased reactive oxygen species damage the electron transport chain, reducing membrane potential, which further increases ROS in a positive feedback loop.",↑ ROS → ETC damage → ↓ membrane potential → ↑ ROS; positive feedback loop; mitochondrial dysfunction
"Glucagon binds its receptor in liver cells, raising cAMP, activating PKA, which phosphorylates PFK-2 to lower fructose-2,6-bisphosphate, inhibiting glycolysis.","glucagon → ↑ cAMP → PKA → PFK-2-P → ↓ F-2,6-BP → ↓ glycolysis; ∴ ↑ gluconeogenesis"
"Elevated ammonia from protein catabolism is toxic to the brain; the urea cycle converts it to urea for excretion, requiring bicarbonate and aspartate.",↑ NH₃ (protein catabolism) → toxic to brain; urea cycle → NH₃ + HCO₃⁻ + aspartate → urea → excretion
"Upon B cell activation by antigen, the germinal center reaction somatic hypermutation and class switch recombination increase antibody diversity and affinity.",antigen → B cell activation → germinal center → somatic hypermutation + CSR → ↑ Ab diversity + ↑ affinity
Increased sympathetic nervous system activity raises heart rate by decreasing the time for depolarization in the sinoatrial node pacemaker cells.,↑ sympathetic → ↓ SA node depolarization interval → ↑ HR; norepinephrine + β1-adrenergic receptor
"Deletion of a mismatch repair gene such as MLH1 allows replication errors to accumulate, dramatically increasing mutation rate and cancer risk.",MLH1 deletion → ↓ mismatch repair → ↑ replication errors → ↑ mutation rate → ↑ cancer risk
"As the partial pressure of CO2 rises in blood, more CO2 dissolves, forming carbonic acid, which dissociates to lower pH, triggering increased breathing rate.",↑ pCO₂ → CO₂ + H₂O → H₂CO₃ → H⁺ + HCO₃⁻ → ↓ pH → ↑ ventilation rate; chemoreceptor reflex
"Nitric oxide produced by endothelial cells diffuses into smooth muscle cells, activates guanylyl cyclase, raising cGMP, causing smooth muscle relaxation and vasodilation.",endothelial cells → NO → smooth muscle → ↑ cGMP (guanylyl cyclase) → smooth muscle relaxation → vasodilation
"Absence of dystrophin disrupts the link between the cytoskeleton and extracellular matrix, causing membrane fragility and progressive muscle fiber degeneration.",dystrophin absent → cytoskeleton ↔ ECM link lost → membrane fragility → progressive muscle degeneration (DMD)
"During exercise, rising AMP levels activate AMPK, which stimulates glucose uptake, fatty acid oxidation, and mitochondrial biogenesis while inhibiting anabolic pathways.",exercise → ↑ AMP → AMPK active → ↑ glucose uptake + ↑ β-oxidation + ↑ mito biogenesis; ↓ anabolism
"Renal proximal tubule cells reabsorb filtered bicarbonate by converting it to CO2, which diffuses in and is reconverted to bicarbonate inside the cell.",PCT: filtered HCO₃⁻ → CO₂ (at brush border via CA) → into cell → CO₂ + H₂O → HCO₃⁻ (CA) → blood; HCO₃⁻ reabsorbed
"High aldosterone levels stimulate sodium reabsorption in the collecting duct, drawing water osmotically, raising blood volume and increasing blood pressure.",↑ aldosterone → ↑ Na⁺ reabsorption (collecting duct) → osmotic water follows → ↑ blood volume → ↑ BP
When GnRH is released in a pulsatile manner it stimulates LH and FSH release; continuous GnRH exposure paradoxically desensitizes pituitary receptors and reduces gonadotropins.,GnRH pulsatile → ↑ LH + FSH; GnRH continuous → receptor desensitization → ↓ LH + FSH; ∴ therapeutic target
"Complement protein C3b deposited on pathogens acts as an opsonin, binding complement receptors on macrophages and dramatically increasing phagocytosis efficiency.",C3b on pathogen → opsonin → CR3 on macrophage → ↑ phagocytosis efficiency; complement opsonization
"High concentrations of substrate inhibit the enzyme aspartate transcarbamoylase through end-product inhibition by CTP, reducing pyrimidine biosynthesis.",↑ CTP → allosteric inhibition of ATCase → ↓ pyrimidine biosynthesis; negative feedback end-product inhibition
"Deficiency of vitamin C impairs hydroxylation of proline and lysine in procollagen, preventing proper triple helix formation and causing scurvy.",↓ vitamin C → ↓ prolyl/lysyl hydroxylation → collagen triple helix ↓ → scurvy; ∵ ascorbate = cofactor for hydroxylase
Elevation of intracellular calcium in cardiac myocytes through the L-type channel triggers calcium-induced calcium release from the sarcoplasmic reticulum via ryanodine receptors.,↑ Ca²⁺ via L-type channel → CICR: ryanodine receptor (SR) → ↑ Ca²⁺ → contraction; cardiac E-C coupling
"PD-L1 expressed on tumor cells binds PD-1 on T cells, sending an inhibitory signal that reduces T cell activation and allows the tumor to evade immune surveillance.",tumor PD-L1 → T cell PD-1 → inhibitory signal → ↓ T cell activation → tumor immune evasion; ∴ anti-PD-1 = therapy
"Decreased dietary protein intake lowers branched-chain amino acid levels in the blood, reducing mTORC1 activation and shifting cells toward autophagy.",↓ dietary protein → ↓ BCAA → ↓ mTORC1 → autophagy ↑; catabolism > anabolism; starvation response
"When temperature increases in a gas at constant volume, the pressure rises proportionally because molecules collide more frequently and with greater force.",↑ T (const V) → ↑ molecular velocity → ↑ collision freq + force → ↑ P; P ∝ T (Gay-Lussac)
"Adding a catalyst to a reaction lowers the activation energy, increasing the rate without changing the equilibrium position or thermodynamic favorability.",catalyst → ↓ Eₐ → ↑ rxn rate; equilibrium position unchanged; ΔG unchanged; ≠ thermodynamic change
"As the atomic number increases across a period, the effective nuclear charge increases while electron shielding remains approximately constant, drawing electrons closer and shrinking atomic radius.",↑ Z (across period) → ↑ effective nuclear charge; shielding ≈ const → ↓ atomic radius
Increasing the concentration of a weak acid solution does not proportionally increase H+ concentration because the dissociation equilibrium shifts but Ka remains fixed.,↑ weak acid conc → ↑ [H⁺] but not proportionally; Ka fixed; ∴ % dissociation ↓ as conc ↑
"When a reaction reaches equilibrium, adding more reactant shifts the equilibrium to the right, increasing product concentration until a new equilibrium is established.",add reactant → Q < K → equilibrium shifts right → ↑ product until new eq; Le Chatelier
Increasing pressure on a gas-phase equilibrium with unequal moles of gas on each side shifts the equilibrium toward the side with fewer moles of gas.,↑ P → equilibrium shifts toward fewer gas moles; ↓ P → shifts toward more gas moles; Le Chatelier
"Strong acids completely dissociate in water, so doubling concentration doubles H+ concentration exactly, whereas weak acids show diminishing returns due to equilibrium.",strong acid: [conc] ×2 → [H⁺] ×2 exactly; weak acid: [conc] ×2 → [H⁺] <×2; ∵ Ka fixed ≠ 100% diss.
"As molecular weight increases in a homologous series of alkanes, boiling point rises because London dispersion forces become stronger with larger electron clouds.",↑ MW (alkanes) → ↑ London dispersion forces → ↑ BP; ∝ surface area + electron polarizability
"Adding a non-volatile solute to a solvent raises its boiling point because the vapor pressure is lowered, requiring a higher temperature to reach atmospheric pressure.",non-volatile solute → ↓ vapor pressure → must heat more to reach P_atm → ↑ BP; ΔTb = Kb·m·i
"When a photon of sufficient energy strikes a semiconductor, it promotes an electron from the valence band to the conduction band, creating an electron-hole pair.",photon (E ≥ Eg) → e⁻: valence band → conduction band → electron-hole pair; photovoltaic effect
"Increasing the distance between two charges decreases the electrostatic force by the square of the distance, following Coulomb's inverse square law.",↑ distance r → ↓ F electrostatic ∝ 1/r²; Coulomb: F=kq₁q₂/r²
"In a series circuit, increasing one resistor's value increases total resistance, decreasing total current, which in turn decreases voltage across all other resistors.",series: ↑ one R → ↑ R_total → ↓ I (Ohm's) → ↓ V across all other resistors; I same throughout
"In a parallel circuit, adding more resistors decreases total resistance, increasing total current drawn from the source while current through each branch is unchanged.",parallel: ↑ resistors → ↓ R_total → ↑ total I; current per branch unchanged; ≠ series behavior
"As a star depletes its hydrogen fuel, it expands to become a red giant because decreased core pressure causes the outer layers to cool and expand.",↓ H fuel in star → ↓ radiation pressure → core contracts → ↑ temp → outer layers expand + cool → red giant
"When a body oscillating in simple harmonic motion is displaced further from equilibrium, the restoring force increases proportionally, but the period remains independent of amplitude.",SHM: ↑ displacement → ↑ restoring force (F=-kx); period T=2π√(m/k) independent of amplitude; ≠ pendulum at large angles
"Decreasing temperature in a superconductor causes electrical resistance to drop abruptly to zero at Tc, allowing current to flow without energy dissipation.",↓ T → Tc → resistance = 0 suddenly; current flows w/o energy loss; Cooper pairs ↔ phonons; Meissner effect
"Increasing the magnetic field through a conducting loop induces an electromotive force that drives a current opposing the change, as described by Lenz's law.",↑ B through loop → induced EMF → induced I opposes ↑ B; Lenz's law; ∵ Faraday: EMF=-dΦ/dt
"When two waves of slightly different frequencies overlap, they create beats: regions of constructive and destructive interference at a rate equal to the difference in frequencies.",two waves: Δf → beats; beat freq = |f₁-f₂|; constructive ↔ destructive interference; ↓ Δf → slower beats
"As hydrostatic pressure increases with depth in a fluid, buoyancy force on a submerged object equals the weight of fluid displaced, independent of depth.",↑ depth → ↑ hydrostatic pressure; buoyancy F_b = ρ_fluid × V_submerged × g; depth independent; Archimedes
Removing electrons from an atom (ionization) requires energy; each successive electron is harder to remove because effective nuclear charge increases and shielding decreases.,successive ionization: each e⁻ harder to remove; ↑ effective nuclear charge + ↓ shielding; IE₁ < IE₂ < IE₃...
"When a nuclear decay emits an alpha particle, the parent nucleus loses 2 protons and 2 neutrons, shifting two places left on the periodic table.","α decay: parent → ↓ 2 protons + ↓ 2 neutrons; new element 2 places left on periodic table; A↓4, Z↓2"
Increasing the frequency of light incident on a photoelectric material increases the kinetic energy of emitted electrons but does not change the number emitted.,↑ photon frequency → ↑ KE of emitted e⁻ (KE=hf-Φ); ≠ ↑ number of e⁻ emitted; intensity controls count
"When electrons transition to lower energy levels in hydrogen, photons are emitted at discrete wavelengths corresponding to the energy difference, forming the line spectrum.",e⁻: high E level → low E level → photon emitted; E_photon = ΔE = hf; discrete → line spectrum; Bohr
"As pressure increases on water ice, the melting point decreases slightly because ice is less dense than liquid water, and high pressure favors the denser liquid phase.",↑ P on ice → ↓ melting point; ∵ liquid water denser than ice; ∴ pressure favors liquid; anomalous behavior
Entropy increases spontaneously in isolated systems; mixing two gases increases entropy because the number of possible microstates increases dramatically.,mixing gases (isolated) → ↑ microstates → ↑ entropy (ΔS > 0); spontaneous; ΔS_mix = -nR(x₁lnx₁+x₂lnx₂)
"Increasing temperature in an endothermic reaction shifts equilibrium toward products, raising K, while the same temperature increase in an exothermic reaction shifts equilibrium toward reactants.",↑ T: endothermic rxn → ↑ K (→ products); exothermic rxn → ↓ K (→ reactants); van't Hoff equation
"When electrons are shared unequally between atoms of different electronegativity, the bond has partial charges, creating a dipole moment that affects molecular interactions.",unequal e⁻ sharing → partial charges (δ+/δ-) → bond dipole; ↑ Δ electronegativity → ↑ dipole moment
"Adding a conjugated system of alternating single and double bonds lowers the energy gap between ground and excited states, shifting absorption to longer wavelengths.",↑ conjugation length → ↓ HOMO-LUMO gap → ↑ absorption wavelength (bathochromic shift); π→π* transition
"When a crystal is placed under tensile stress, planes of atoms slip relative to each other at dislocations, allowing plastic deformation at stresses far below theoretical strength.",tensile stress → dislocation slip → plastic deformation; actual strength << theoretical; ∵ dislocation motion requires ↓ force
"As the chain length of a polymer increases, its glass transition temperature rises because longer chains have fewer chain ends and reduced free volume.",↑ polymer chain length → ↓ chain ends → ↓ free volume → ↑ Tg; more restricted chain mobility
"Decreasing the distance between capacitor plates at constant charge increases the electric field and raises the voltage, increasing the stored energy.",↓ plate distance (const Q) → ↑ E field → ↑ V → ↑ stored energy (U=Q²/2C); C=ε₀A/d so ↓d → ↓C → ↑V
"When a radioactive isotope decays, the remaining activity decreases exponentially; after each half-life exactly half the nuclei remain undecayed.",radioactive decay: A(t)=A₀e^(-λt); after t½: 50% remain; t½=ln2/λ=0.693/λ; exponential ↓ always
"Increasing the number of diffraction grating lines per millimeter narrows and brightens diffraction maxima, increasing resolving power and ability to distinguish closely spaced wavelengths.",↑ grating lines/mm → narrower + brighter maxima → ↑ resolving power R=mN → ↑ wavelength resolution
"As the electron configuration fills from lower to higher energy subshells, atoms with half-filled or fully-filled subshells gain extra stability due to exchange energy.",half-filled (d⁵) or full (d¹⁰) subshells → ↑ stability via exchange energy; Cr=[Ar]3d⁵4s¹ ≠ predicted [Ar]3d⁴4s²
"When acid is added to a buffer, the conjugate base neutralizes the H+ ions, resisting large pH changes; the buffer capacity is greatest when pH equals pKa.",add H⁺ to buffer → A⁻ + H⁺ → HA; ↓ pH change; max buffer capacity at pH = pKa; [A⁻]=[HA]
"Decreasing the pH of a solution increases the concentration of hydrogen ions, shifting protein equilibria and potentially denaturing enzymes at extreme values.",↓ pH → ↑ [H⁺] → protein protonation shifts → altered folding; extreme pH → denaturation; enzyme activity ↓
"When both reactant concentrations double in a second-order reaction, the rate increases by a factor of four, consistent with rate equals k times concentration squared.",2nd order rxn: [A]×2 → rate ×4; rate=k[A]²; ∵ (2)²=4; ≠ 1st order where [A]×2 → rate ×2
"Increasing temperature increases the fraction of molecules with energy exceeding the activation energy, exponentially increasing the reaction rate as described by the Arrhenius equation.",↑ T → ↑ fraction of molecules with E>Eₐ → ↑ rxn rate exponentially; k=Ae^(-Eₐ/RT)
"In an electrochemical cell, the species with the higher standard reduction potential is reduced at the cathode, and the cell operates spontaneously when E°cell is positive.",higher E° → cathode (reduction); lower E° → anode (oxidation); spontaneous if E°cell > 0; ΔG°=-nFE°
"When the temperature of a gas decreases at constant pressure, the volume decreases proportionally because molecules slow down and exert less pressure per unit area.",↓ T (const P) → ↓ molecular velocity → ↓ volume proportionally; V ∝ T (Charles's law); V=nRT/P
"Excited electrons in a laser medium return to lower energy states and emit photons that stimulate further emission of identical photons, causing coherent light amplification.",excited e⁻ → stimulated emission → identical photons → coherent amplification; LASER: Light Amplification by Stimulated Emission
"As the ionization energy of an element increases, it becomes harder to form cations, making the element a poorer reducing agent and a better oxidizing agent.",↑ IE → harder to form cations → poorer reducing agent → ↑ oxidizing power; IE ↔ oxidizing ability
"When light passes from a denser to a less dense medium at an angle greater than the critical angle, total internal reflection occurs and no refracted ray escapes.",dense → less dense medium; θ > θ_c → TIR; no refracted ray; θ_c = arcsin(n₂/n₁); ∵ n₁>n₂
Increasing pressure on a system at equilibrium involving gases shifts the equilibrium toward the side with fewer total moles of gas to reduce pressure.,↑ P → equilibrium → side w/ fewer gas moles; ↓ P → side w/ more gas moles; only affects gas-phase rxns
"Lowering the temperature of liquid water below its freezing point causes hydrogen bonds to organize into a hexagonal lattice, forming ice less dense than liquid.",↓ T below 0°C → H-bonds → hexagonal lattice → ice; ice ↓ density vs liquid; ∴ floats; anomalous
"When a buffer solution is diluted, the ratio of conjugate base to acid remains constant, so the pH does not change significantly despite volume increase.",dilute buffer → [A⁻]/[HA] ratio unchanged → pH ≈ const; Henderson-Hasselbalch: pH=pKa+log([A⁻]/[HA])
"Increasing the number of pi electrons in a conjugated aromatic system increases aromaticity, stabilizing the molecule and making electrophilic aromatic substitution preferred.",↑ π electrons in aromatic system → ↑ aromaticity → ↑ stability → EAS preferred over addition; Hückel 4n+2
"As pressure in a gas increases at constant temperature, molecules are pushed closer together, increasing intermolecular forces and causing deviation from ideal behavior.",↑ P (const T) → ↓ molecular distance → ↑ intermolecular forces → deviation from ideal gas; Z>1 or Z<1 depending on forces
"Photoexcitation of a semiconductor raises electrons to the conduction band; recombination with holes releases energy as photons, the basis of LED and laser operation.",photon → e⁻ excited to conduction band; e⁻+hole recombine → photon emitted; E_photon ≈ bandgap; basis of LED
"When a magnetic dipole is placed in an external magnetic field, it precesses around the field at the Larmor frequency, the basis of nuclear magnetic resonance spectroscopy.",magnetic dipole in B field → precession at Larmor freq (ω=γB); basis of NMR; ↑ B → ↑ precession freq
Deprotonating an alpha carbon adjacent to a carbonyl group forms a resonance-stabilized enolate anion that can act as a nucleophile in aldol condensation reactions.,base + α-H (adjacent to C=O) → enolate anion; resonance-stabilized; nucleophilic at α-carbon → aldol rxn
"When dopamine release in the nucleus accumbens exceeds baseline prediction, the brain encodes a positive reward prediction error, reinforcing the behavior that preceded it.",DA > baseline in nucleus accumbens → ↑ reward prediction error (RPE) → behavior reinforced; VTA → mesolimbic
"Blocking serotonin reuptake with SSRIs increases synaptic serotonin concentration, which over weeks desensitizes postsynaptic receptors and produces antidepressant effects.",SSRI → blocks 5-HT reuptake → ↑ synaptic 5-HT → weeks → receptor desensitization → antidepressant effect
"When cortisol is chronically elevated due to stress, it damages hippocampal neurons by increasing glutamate excitotoxicity, impairing memory and spatial navigation.",chronic stress → ↑ cortisol → ↑ glutamate excitotoxicity in hippocampus → neuronal damage → ↓ memory + navigation
"As sleep deprivation accumulates, adenosine builds up in the basal forebrain, progressively increasing sleep pressure until sleep occurs and adenosine is cleared.",sleep deprivation → ↑ adenosine (basal forebrain) → ↑ sleep pressure; sleep → adenosine cleared; caffeine blocks A1 receptor
"Fear extinction occurs when the conditioned stimulus is repeatedly presented without the unconditioned stimulus, allowing the prefrontal cortex to inhibit amygdala fear responses.",CS w/o US repeated → PFC → inhibits amygdala → fear response ↓; extinction ≠ forgetting; IL cortex mediates
"Norepinephrine released during acute stress activates locus coeruleus projections throughout the cortex, increasing arousal, attention, and alertness while narrowing attentional focus.",acute stress → locus coeruleus → NE release cortex-wide → ↑ arousal + ↑ attention; attentional focus narrows
"When mirror neurons in the premotor cortex fire during observation of an action, they create a motor simulation in the observer, facilitating understanding of another's intentions.",action observed → mirror neurons (premotor) fire → motor simulation → ↑ intent understanding; empathy basis
"Inactivating the ventromedial prefrontal cortex in animal studies impairs fear extinction but not acquisition, demonstrating its selective role in suppressing learned fear.",vmPFC inactivation → ↓ fear extinction; fear acquisition unchanged; ∴ vmPFC = selective role in suppressing learned fear
Elevated glutamate in schizophrenia's NMDA hypofunction model explains negative symptoms because reduced NMDA on inhibitory interneurons disinhibits cortical excitatory neurons.,↓ NMDA on GABAergic interneurons → disinhibition of cortical excitatory neurons → ↑ glutamate dysregulation → negative symptoms (schizophrenia)
"As task difficulty increases beyond cognitive capacity, working memory load exceeds the central executive's capacity, causing performance to drop sharply.",↑ task difficulty → working memory load > central executive capacity → performance ↓ sharply; cognitive overload
"Chronic alcohol use downregulates GABA-A receptors and upregulates NMDA receptors; abrupt withdrawal causes excess excitation, leading to seizures and delirium tremens.",chronic alcohol → ↓ GABA-A + ↑ NMDA receptors; abrupt withdrawal → excess excitation → seizures + DTs
"When theta oscillations synchronize between the hippocampus and prefrontal cortex, the temporal coupling facilitates transfer of spatial memory during navigation.",hippocampus-PFC theta synchrony → ↑ temporal coupling → ↑ spatial memory transfer; phase coherence ↔ learning
"Transcranial magnetic stimulation over the right temporoparietal junction disrupts the sense of body ownership, temporarily creating out-of-body-like experiences.",TMS over right TPJ → ↓ body ownership sense → out-of-body experience; TPJ ↔ multisensory self-location
"Infants raised without adequate sensory and social stimulation show blunted stress responses and structural changes in the prefrontal cortex, impairing later emotional regulation.",early sensory/social deprivation → ↓ stress response + PFC structural ↓ → ↓ emotional regulation later life
"Activation of mu-opioid receptors in the periaqueductal gray inhibits GABAergic interneurons, disinhibiting descending serotonergic and noradrenergic pain modulation pathways.",mu-opioid → PAG → inhibits GABA interneurons → disinhibition → ↑ descending 5-HT + NE → ↓ pain
"As practice increases on a motor task, activity shifts from the prefrontal cortex and striatum toward the cerebellum and motor cortex, reflecting automatization.",↑ practice → activity: PFC + striatum → cerebellum + motor cortex; automatization; ↓ cognitive load required
"When the lateral hypothalamus is lesioned, animals stop eating despite food availability, demonstrating that this region acts as a hunger-promoting center.",lateral hypothalamus lesion → ↓ eating w/ food available; ∴ LH = hunger center; ≠ VMH lesion (↑ eating)
"Increased dopamine signaling in the mesolimbic pathway causes positive symptoms of schizophrenia, whereas reduced dopamine in the mesocortical pathway causes negative symptoms.","↑ DA mesolimbic → positive symptoms (hallucinations, delusions); ↓ DA mesocortical → negative symptoms (flat affect); schizophrenia"
"Repeated exposure to a stimulus without consequence causes habituation, reducing response amplitude, while dishabituation occurs when a novel stimulus resets the response.",repeated stimulus → habituation → ↓ response amplitude; novel stimulus → dishabituation → response resets
"Damage to the right parietal cortex causes hemispatial neglect where patients ignore the left side of space, demonstrating contralateral spatial attention mapping.",right parietal damage → left hemispatial neglect; ∵ right hemisphere maps both sides; left hemisphere only right side
"When a conditioned cue is presented in an extinction context, fear can spontaneously recover in the original context, showing that extinction does not erase memory.",extinction in new context → fear suppressed; return to original context → spontaneous recovery; ∴ extinction ≠ erasure
"Long-term depression in the cerebellum occurs when parallel fiber and climbing fiber inputs are activated simultaneously, weakening the parallel fiber to Purkinje cell synapse.",parallel fiber + climbing fiber simultaneous → LTD at parallel fiber-Purkinje cell synapse → ↓ synaptic strength; motor learning
"High levels of BDNF promote dendritic branching and synaptogenesis, whereas low BDNF in depression correlates with hippocampal atrophy and impaired neurogenesis.",↑ BDNF → ↑ dendritic branching + synaptogenesis; ↓ BDNF (depression) → hippocampal atrophy + ↓ neurogenesis
Activation of orexin/hypocretin neurons in the lateral hypothalamus promotes wakefulness; loss of these neurons in narcolepsy causes sudden sleep attacks and cataplexy.,orexin neurons (LH) → ↑ wakefulness; orexin neuron loss → narcolepsy → sleep attacks + cataplexy; ↓ CSF orexin
"When the anterior cingulate cortex detects conflict between response options, it signals the prefrontal cortex to increase cognitive control, slowing response and reducing errors.",conflict detected → ACC → signals PFC → ↑ cognitive control → ↓ response speed + ↓ error rate; Stroop
"When the central bank reduces the policy interest rate, commercial banks lower their lending rates, increasing borrowing, stimulating investment and consumption.",↓ policy rate → ↓ lending rates → ↑ borrowing → ↑ investment + ↑ consumption → ↑ GDP; monetary transmission
"A government budget deficit requires financing through bond issuance; if the central bank monetizes this, money supply increases, potentially causing inflation.",govt deficit → bond issuance; if CB monetizes → ↑ money supply → ↑ inflation risk; vs. non-monetized: ↑ interest rates
"When nominal wages fail to adjust downward during a recession, unemployment rises above the natural rate because labor markets cannot clear at reduced prices.",↓ nominal wages rigid → labor market doesn't clear → unemployment > natural rate; sticky wages (Keynesian)
"Rising asset prices increase household wealth, which raises consumption through the wealth effect, providing a positive feedback channel into aggregate demand.",↑ asset prices → ↑ household wealth → ↑ consumption (wealth effect) → ↑ aggregate demand → ↑ GDP
"When domestic inflation exceeds that of trading partners, the real exchange rate appreciates, making exports more expensive and reducing trade competitiveness.",↑ domestic inflation > trading partners → ↑ real exchange rate → ↑ export prices → ↓ export competitiveness
"Increasing the reserve requirement for banks reduces the money multiplier, contracting the money supply and raising interest rates in the short run.",↑ reserve requirement → ↓ money multiplier (1/r) → ↓ money supply → ↑ interest rates (SR)
"When oil prices rise, production costs increase across industries, shifting aggregate supply left and causing stagflation with both higher prices and lower output.",↑ oil prices → ↑ production costs → AS shifts left → ↑ P + ↓ Y + ↑ unemployment; stagflation
"As income inequality increases, those at the bottom of the distribution have higher marginal propensity to consume; redistribution from rich to poor increases aggregate demand.",↑ inequality → poor have higher MPC; redistribution (rich → poor) → ↑ aggregate demand; ∵ MPC_poor > MPC_rich
"Devaluing a currency makes exports cheaper and imports more expensive; if the Marshall-Lerner condition holds, the trade balance improves over time after an initial J-curve deterioration.",↓ currency → ↓ export prices + ↑ import prices; if Marshall-Lerner: ↑ trade balance LR; J-curve: ↓ SR then ↑ LR
"When firms are price takers in a competitive market, they produce until marginal cost equals the market price; producing more would reduce profit since MC exceeds price.",competitive firm: produce until MC = P; MC > P → ↓ profit by producing more; MC < P → ↑ profit by producing more
"Rising interest rates increase the opportunity cost of holding non-yielding assets like gold and growth stocks, causing their prices to fall as investors shift to bonds.",↑ interest rates → ↑ opportunity cost of non-yielding assets → ↓ gold + ↓ growth stock prices; ↑ bond attractiveness
"As more firms enter a competitive market in response to economic profit, supply increases, prices fall, and profit is competed away to zero in the long run.",economic profit → ↑ firm entry → ↑ supply → ↓ price → profit → 0; LR competitive equilibrium
"When consumers have lower time preference, they save more, lowering the real interest rate and increasing the capital stock available for investment.",↓ time preference → ↑ savings → ↓ real interest rate → ↑ investment → ↑ capital stock; Ramsey model
"Trade liberalization between countries with different relative prices causes specialization in comparative advantage goods, raising total output but creating distributional winners and losers.",trade liberalization → specialization by comparative advantage → ↑ total output; distributional effects: winners ≠ losers
"Increasing corporate tax rates reduces after-tax returns on investment, lowering investment, reducing capital accumulation, and potentially reducing wages in the long run.",↑ corporate tax → ↓ after-tax returns → ↓ investment → ↓ capital accumulation → ↓ wages LR
"When information asymmetry causes adverse selection in insurance markets, high-risk individuals are more likely to purchase insurance, raising average costs and premiums.",info asymmetry → adverse selection: high-risk more likely to insure → ↑ avg cost → ↑ premiums → market unraveling
"As the economy moves into expansion, automatic stabilizers like progressive taxes increase and transfer payments decrease, automatically reducing the fiscal stimulus.",economic expansion → ↑ tax revenue (progressive) + ↓ transfers → ↓ fiscal stimulus automatically; built-in stabilizers
"When a monopolist faces a downward-sloping demand curve, marginal revenue is less than price, causing underproduction relative to the competitive equilibrium and creating deadweight loss.",monopolist: MR < P → produce where MR=MC → ↓ output vs competitive → deadweight loss; P > MC
"Excessive bank leverage amplifies returns in good times but amplifies losses in bad times, creating systemic risk when correlated asset declines threaten solvency.",↑ bank leverage → ↑ returns (good times) + ↑ losses (bad times); correlated ↓ assets → systemic insolvency risk
Increasing minimum wages above market equilibrium reduces employment in competitive labor markets but may increase employment in monopsonistic markets by counteracting wage suppression.,↑ minimum wage above equilibrium: competitive market → ↓ employment; monopsony → ↑ employment; ∴ effect ∝ market structure
"When capital is freely mobile across borders, a small open economy cannot use monetary policy to independently set interest rates different from the world interest rate.",free capital mobility + small open economy → domestic interest rate = world rate; ∴ monetary policy ineffective; Mundell-Fleming
"Rising house prices increase household collateral values, enabling more borrowing, which funds consumption, further raising prices in a self-reinforcing cycle until a shock breaks it.",↑ house prices → ↑ collateral → ↑ borrowing → ↑ consumption → ↑ prices; positive feedback; vulnerable to reversal
"When the exchange rate is fixed and capital flows freely, an expansionary fiscal policy is fully effective because capital inflows prevent interest rate rises from crowding out investment.",fixed FX + free capital: fiscal expansion → ↑ G → ↑ interest rate → capital inflow → currency pressure → CB buys foreign → ↑ M → full effectiveness
"As productivity growth slows in an economy, potential GDP growth falls, wages stagnate, and without policy intervention, living standards improve more slowly.",↓ productivity growth → ↓ potential GDP growth → stagnant wages → ↓ living standard improvement; secular stagnation
"When the debt-to-GDP ratio rises sufficiently, markets demand higher risk premiums on government bonds, raising borrowing costs and potentially triggering a debt spiral.",↑ debt/GDP → ↑ risk premium → ↑ borrowing costs → ↑ debt even faster → debt spiral risk; fiscal sustainability threshold
Increasing financial market integration between countries transmits shocks more quickly; a crisis originating in one country can rapidly spread through correlated asset prices.,↑ financial integration → ↑ shock transmission speed; crisis in one country → correlated assets → rapid contagion
"When consumers anchor expectations of future prices to past prices, they adapt more slowly to new inflation regimes, making disinflationary policy more costly in lost output.",expectations anchored to past → slow adjustment to new inflation regime → ↑ sacrifice ratio; adaptive ≠ rational expectations
"A positive technology shock increases total factor productivity, shifting the production possibilities frontier outward and raising real wages and the return to capital.",↑ TFP (tech shock) → PPF shifts out → ↑ real wages + ↑ return to capital + ↑ potential output
"When governments subsidize higher education, human capital investment increases, raising future labor productivity, wages, and tax revenues that may exceed the initial subsidy cost.",govt education subsidy → ↑ human capital investment → ↑ labor productivity → ↑ wages → ↑ tax revenue; potential positive ROI
"In a prisoner's dilemma played repeatedly with the same partners, cooperation can emerge through conditional strategies like tit-for-tat, unlike the one-shot game.",repeated prisoner's dilemma → tit-for-tat sustains cooperation; ≠ one-shot (dominant strategy = defect); shadow of future matters
"When carbon is priced through a tax or cap-and-trade system, firms internalize the external cost of emissions, reducing pollution to the socially optimal level.",carbon price → internalize external cost → ↓ emissions to socially optimal level; Pigou tax or cap-and-trade
